,职位ID,职位名,薪资范围,公司ID,公司名,职位链接,发布时间,猎头名称,猎头ID,工作经验,公司主页,公司描述,岗位亮点
0,5504126,Python开发工程师,10k-20k,206460,柏睿数据,https://www.lagou.com/jobs/5504126.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验不限 / 本科,https://www.lagou.com/gongsi/v1/c218f532c8185fbbe0eae9a4bd8d72ab94f5ad2ec7b51415.html,数据服务｜咨询 / C轮 / 50-150人,“大数据 多绩效”
1,3547198,Android研发(往python后端培养),8k-14k,28807,森果,https://www.lagou.com/jobs/3547198.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验不限 / 本科,https://www.lagou.com/gongsi/v1/88709f54bfc486707bed026ba7f246ce657b7a1c61e0923b.html,IT技术服务｜咨询 / 天使轮 / 50-150人,“技术大牛，项目奖金，自主研发，提供mac”
2,6755018,python后端,9k-16k,28807,森果,https://www.lagou.com/jobs/6755018.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验在校/应届 / 本科,https://www.lagou.com/gongsi/v1/7916d9786646cbd40793500b30f1a67206af407f0bde03f2.html,IT技术服务｜咨询 / 天使轮 / 50-150人,“技术大牛，项目奖金，自主研发，提供mac”
3,8786286,研发实习生（Java，Python）,6k-12k,206460,柏睿数据,https://www.lagou.com/jobs/8786286.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验在校/应届 / 本科,https://www.lagou.com/gongsi/v1/6bdfd5b5e91abc2b6271674445a3d6f665c9331098bb59a2.html,数据服务｜咨询 / C轮 / 50-150人,“大数据”
4,8450487,Python开发工程师,4k-8k,452925,仑动科技,https://www.lagou.com/jobs/8450487.html?show=18e8073f7d404fca98852914081537ff,2021-06-10,,,经验在校/应届 / 不限,https://www.lagou.com/gongsi/v1/5edd3f42c51ffb8479c0e29673b9d3991e54de70a811492c.html,"企业服务,人工智能 / 未融资 / 少于15人",“发展前景”
5,3885975,Python开发工程师,9k-12k,23506,SendCloud,https://www.lagou.com/jobs/3885975.html?show=18e8073f7d404fca98852914081537ff,2021-05-06,,,经验不限 / 本科,https://www.lagou.com/gongsi/v1/e82621f7d77f5a73c0c9551520d1f2d09819cbaa043566ba.html,"移动互联网,企业服务 / A轮 / 50-150人",“全额六险一金、餐补、加班补助、双休”
6,7131644,Python开发工程师,8k-15k,67960,飞脉科技,https://www.lagou.com/jobs/7131644.html?show=18e8073f7d404fca98852914081537ff,2021-05-25,,,经验在校/应届 / 本科,https://www.lagou.com/gongsi/v1/4acbe9813ceba0dc9860aaa49528e7f4c22e72e94bf11fc4.html,"移动互联网,数据服务 / 未融资 / 15-50人",“双休、五险一金、半年晋升”
7,4946834,python开发工程师,5k-8k,429428,奇观技术,https://www.lagou.com/jobs/4946834.html?show=18e8073f7d404fca98852914081537ff,2021-03-02,,,经验不限 / 大专,https://www.lagou.com/gongsi/v1/641b2bd1a3fcafbc49be7cee0b0692edd2d56572d10c1a37.html,"移动互联网,电商 / 未融资 / 50-150人","“交通补助,通讯住房补,节假日放假,晋升快”"
8,8926348,Python后台开发工程师,7k-10k,123457693,爱投斯云计算,https://www.lagou.com/jobs/8926348.html?show=18e8073f7d404fca98852914081537ff,2021-06-07,,,经验不限 / 大专,https://www.lagou.com/gongsi/v1/60c331a18e1e090870257c5878186c05e186975e6d708eaaec28e44f0ba4e858.html,"软件服务｜咨询,IT技术服务｜咨询,物联网 / 未融资 / 15-50人",“核心团队来自BAT，股权激励”
9,6881431,python开发工程师,8k-15k,111175,ZingFront智线,https://www.lagou.com/jobs/6881431.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/38eda0efad4f85208741cc7a3867b67bb9b2536927411d76.html,"IT技术服务｜咨询,数据服务｜咨询 / A轮 / 50-150人",“六险一金 超长年假 绩效奖金 福利多多”
