,职位ID,职位名,薪资范围,公司ID,公司名,职位链接,发布时间,猎头名称,猎头ID,工作经验,公司主页,公司描述,岗位亮点
0,8548354,php开发工程师,15k-18k,152004,北京阿甘达,https://www.lagou.com/jobs/8548354.html?show=b6b910cafb5c4d0098753953a5d6a6e1,1天前发布,,,经验1-3年 / 大专,https://www.lagou.com/gongsi/v1/3fc50000472346f41134498257244b64d88b04970afb0a2f.html,"移动互联网,电商 / A轮 / 15-50人",“早九晚六，周日单休，法定假日加班补贴，生日会”
1,8821537,php后端开发工程师,7k-10k,547836,基源科技,https://www.lagou.com/jobs/8821537.html?show=b6b910cafb5c4d0098753953a5d6a6e1,1天前发布,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/4c36445bc9025ed49b59534c385cef75cccb9622d0ce1021.html,"移动互联网,医疗丨健康 / 未融资 / 150-500人",“双休，五险一金，定期体检，节日福利，绩效奖金”
2,4014035,PHP研发工程师,12k-20k,5726,翼课网,https://www.lagou.com/jobs/4014035.html?show=b6b910cafb5c4d0098753953a5d6a6e1,1天前发布,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/d337c436985147b9b21550488119854a9d9e3543407edc0e.html,在线教育 / 不需要融资 / 500-2000人,"“五险一金,朝阳行业，周末双休”"
3,4604088,PHP开发工程师,12k-18k,343939,门链科技,https://www.lagou.com/jobs/4604088.html?show=b6b910cafb5c4d0098753953a5d6a6e1,1天前发布,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/85c2a3b13cd03c11fa5ca8225914409a5e1da9fcebb4086d.html,"金融,其他 / 不需要融资 / 150-500人","“区块链,福利待遇好,扁平管理,氛围好”"
4,8589730,php开发工程师,10k-15k,432591,一三齐齐游戏,https://www.lagou.com/jobs/8589730.html?show=b6b910cafb5c4d0098753953a5d6a6e1,1天前发布,,,经验1-3年 / 大专,https://www.lagou.com/gongsi/v1/270b12aef2d2f612bdb06e18e254c39327a0dde0153b6272.html,游戏 / A轮 / 150-500人,“免费三餐 职业发展 房补 五险一金”
5,8430756,php开发工程师,15k-20k,86309,筑客网络,https://www.lagou.com/jobs/8430756.html?show=b6b910cafb5c4d0098753953a5d6a6e1,1天前发布,,,经验1-3年 / 大专,https://www.lagou.com/gongsi/v1/79de700cc16fe7d884c5ee53329df5d1ae638ed31865b30a.html,企业服务 / 不需要融资 / 15-50人,“团队氛围好，晋升空间透明”
6,8283282,php开发工程师,8k-15k,74643,思而科,https://www.lagou.com/jobs/8283282.html?show=b6b910cafb5c4d0098753953a5d6a6e1,1天前发布,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/cc4b658b974b5d60091698ed613722ecf2b5446451992ed8.html,"IT技术服务｜咨询,软件服务｜咨询 / 未融资 / 150-500人",“五险一金 年终奖 节日福利 餐补弹性工作时间”
7,8976985,php工程师,5k-9k,123311027,数语科技,https://www.lagou.com/jobs/8976985.html?show=b6b910cafb5c4d0098753953a5d6a6e1,1天前发布,,,经验1-3年 / 大专,https://www.lagou.com/gongsi/v1/2138be8c1cd855d044b4e60529301507dc83e8ab9122c9a0078643c089bfca15.html,"IT技术服务｜咨询,数据服务｜咨询 / 未融资 / 15-50人",“五险、节日福利、带薪年假、绩效奖金、弹性工作”
8,8924736,Golang/PHP 开发工程师,20k-35k,451,腾讯,https://www.lagou.com/jobs/8924736.html?show=b6b910cafb5c4d0098753953a5d6a6e1,1天前发布,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/a512dee09c6a63ae8131826906c6f1de.html,"游戏,社交媒体,音频｜视频媒体 / 上市公司 / 2000人以上",“大平台，技术实力强”
9,8605165,PHP开发工程师,7k-12k,143305,深传互动,https://www.lagou.com/jobs/8605165.html?show=b6b910cafb5c4d0098753953a5d6a6e1,1天前发布,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/9ce1b44215a8cff1a26dc4649d52d3592a408c02baac5bc1.html,"移动互联网,广告营销 / 未融资 / 50-150人",“为政府单位提供政务一体化整合宣传推广服务”
